[2026-04-02T21:34:22.618Z] Spawning ./Simulator/build/grblHAL_sim -p 23000
[2026-04-02T21:34:22.624Z] PID 82034
[2026-04-02T21:34:23.126Z] WebSocket on ws://localhost:7000
[2026-04-02T21:34:27.695Z] HTTP GET / — upgrading
[2026-04-02T21:34:27.695Z] WS client connected
[2026-04-02T21:34:27.695Z] TCP connecting to 127.0.0.1:23000...
[2026-04-02T21:34:27.695Z] TCP connected to sim
[2026-04-02T21:34:27.700Z] ws→sim 1B: 
[2026-04-02T21:34:27.745Z] sim→ws 1B: \r
[2026-04-02T21:34:27.745Z] sim→ws 1B: \n
[2026-04-02T21:34:27.746Z] sim→ws 39B: GrblHAL 1.1f ['$' or '$HELP' for help]\r
[2026-04-02T21:34:27.746Z] sim→ws 1B: \n
[2026-04-02T21:34:27.800Z] ws→sim 1B: ?
[2026-04-02T21:34:27.844Z] sim→ws 73B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100|A:|TLR:0>\r
[2026-04-02T21:34:27.844Z] sim→ws 1B: \n
[2026-04-02T21:34:27.901Z] ws→sim 1B: ?
[2026-04-02T21:34:27.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:27.946Z] sim→ws 1B: \n
[2026-04-02T21:34:28.000Z] ws→sim 1B: ?
[2026-04-02T21:34:28.046Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:28.046Z] sim→ws 1B: \n
[2026-04-02T21:34:28.100Z] ws→sim 1B: ?
[2026-04-02T21:34:28.146Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:28.146Z] sim→ws 1B: \n
[2026-04-02T21:34:28.201Z] ws→sim 1B: ?
[2026-04-02T21:34:28.246Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:28.246Z] sim→ws 1B: \n
[2026-04-02T21:34:28.300Z] ws→sim 1B: ?
[2026-04-02T21:34:28.300Z] ws→sim 4B: $I+\n
[2026-04-02T21:34:28.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:28.346Z] sim→ws 1B: \n
[2026-04-02T21:34:28.346Z] sim→ws 21B: [VER:1.1f.20260331:]\r
[2026-04-02T21:34:28.346Z] sim→ws 1B: \n
[2026-04-02T21:34:28.346Z] sim→ws 25B: [OPT:VNML+,100,1024,3,0]\r
[2026-04-02T21:34:28.346Z] sim→ws 1B: \n
[2026-04-02T21:34:28.347Z] sim→ws 12B: [AXS:3:XYZ]\r
[2026-04-02T21:34:28.347Z] sim→ws 1B: \n
[2026-04-02T21:34:28.347Z] sim→ws 26B: [NEWOPT:ENUMS,RT+,TC,SED]\r
[2026-04-02T21:34:28.347Z] sim→ws 1B: \n
[2026-04-02T21:34:28.347Z] sim→ws 19B: [FIRMWARE:grblHAL]\r
[2026-04-02T21:34:28.348Z] sim→ws 1B: \n
[2026-04-02T21:34:28.348Z] sim→ws 12B: [SIGNALS:D]\r
[2026-04-02T21:34:28.348Z] sim→ws 1B: \n
[2026-04-02T21:34:28.348Z] sim→ws 22B: [NVS STORAGE:*EEPROM]\r
[2026-04-02T21:34:28.348Z] sim→ws 1B: \n
